"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4910","Проверка наличия всех категорий и коллекций","tests","Tue Aug 19 17:15:06 GMT 2025","passed","Tue Aug 19 17:15:11 GMT 2025","TestCategories","test_categories_and_collections","",""
"","4784","Проверка категории: Промо-одежда","tests","Tue Aug 19 17:15:19 GMT 2025","passed","Tue Aug 19 17:15:24 GMT 2025","TestCategories","test_categories_and_collections","",""
